part number,configuration,bar thickness,bar width,bar length,hole pattern,hole size,material,pigtail code,pigtail length
EGBB14212JJ,(B) Busbar and Brackets,14 - 1/4,2,12,J,7/16 in,Copper,-,-
EGBB14312CB,(B) Busbar and Brackets,14 - 1/4,3,12,C,9/16 in,Copper,-,-
EGBB14412BB,(B) Busbar and Brackets,14 - 1/4,4,12,B,7/16 in,Copper,-,-
EGBB14412CC,(B) Busbar and Brackets,14 - 1/4,4,12,C,7/16 in,Copper,-,-
EGBB14412CCT,(B) Busbar and Brackets,14 - 1/4,4,12,C,7/16 in,Tinned Copper,-,-
EGBC14212BB,(C) Busbar Only,14 - 1/4,2,12,B,7/16 in,Copper,-,-
EGBC14212BFT,(C) Busbar Only,14 - 1/4,2,12,B,1/4 in,Tinned Copper,-,-
EGBC14212EE,(C) Busbar Only,14 - 1/4,2,12,E,7/16 in,Copper,-,-
EGBC14212GG,(C) Busbar Only,14 - 1/4,2,12,G,7/16 in,Copper,-,-
EGBC14312NN,(C) Busbar Only,14 - 1/4,3,12,N,No Hole Pattern,Copper,-,-
EGBC14412NN,(C) Busbar Only,14 - 1/4,4,12,N,No Hole Pattern,Copper,-,-
EGBC14412NNT,(C) Busbar Only,14 - 1/4,4,12,N,No Hole Pattern,Tinned Copper,-,-
EGBD14212NN,(D) Busbar and Insulators,14 - 1/4,2,12,N,No Hole Pattern,Copper,-,-
EGBD14312CC2QK,(D) Busbar and Insulators,14 - 1/4,3,12,C,7/16 in,,"4/0 Concentric Copper Cable, 7 Strand",10 ft
EGBD14412NN,(D) Busbar and Insulators,14 - 1/4,4,12,N,No Hole Pattern,Copper,-,-
EGBF14412CC,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,12,C,7/16 in,Copper,-,-
EGBF14412LL,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,12,L,7/16 in,Copper,-,-
EGBF14412LLT,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,12,L,7/16 in,Tinned Copper,-,-
EGBA12210JJ,"(A) Busbar, Insulators and Brackets",12 - 1/2,2,10,J,7/16 in,Copper,-,-
EGBA14110NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,1,10,N,No Hole Pattern,Copper,-,-
EGBA14210BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,10,B,7/16 in,Copper,-,-
EGBA14210BE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,10,B,5/16 in,Copper,-,-
EGBA14210EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,10,E,7/16 in,Copper,-,-
EGBA14210GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,10,G,7/16 in,Copper,-,-
EGBA14210HB,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,10,H,9/16 in,Copper,-,-
EGBA14210JE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,10,J,1/4 in,Copper,-,-
EGBA14210JF,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,10,J,1/2 in,Copper,-,-
EGBA14210JJ,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,10,J,7/16 in,Copper,-,-
EGBA14210NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,10,N,No Hole Pattern,Copper,-,-
EGBA14210SS,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,10,S,7/16 in,Copper,-,-
EGBA14310NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,10,N,No Hole Pattern,Copper,-,-
EGBA14410AA,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,10,A,7/16 in,Copper,-,-
EGBA14410AAT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,10,A,7/16 in,Tinned Copper,-,-
EGBA14410BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,10,B,7/16 in,Copper,-,-
EGBA14410CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,10,C,7/16 in,Copper,-,-
EGBA14410EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,10,E,7/16 in,Copper,-,-
EGBA14410GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,10,G,7/16 in,Copper,-,-
EGBA14410GGT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,10,G,7/16 in,Tinned Copper,-,-
EGBA14410LL,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,10,L,7/16 in,Copper,-,-
EGBA14410NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,10,N,No Hole Pattern,Copper,-,-
EGBA14410NNT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,10,N,No Hole Pattern,Tinned Copper,-,-
EGBA14410RR,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,10,R,7/16 in,Copper,-,-
EGBA38410DB,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,10,D,9/16 in,Copper,-,-
EGBC14110HH,(C) Busbar Only,14 - 1/4,1,10,H,7/16 in,Copper,-,-
EGBC14310LL,(C) Busbar Only,14 - 1/4,3,10,L,7/16 in,Copper,-,-
EGBA14209GGT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,09,G,7/16 in,Tinned Copper,-,-
EGBA38509AA,"(A) Busbar, Insulators and Brackets",38 - 3/8,5,09,A,7/16 in,Copper,-,-
EGBB14209HHT,(B) Busbar and Brackets,14 - 1/4,2,09,H,7/16 in,Tinned Copper,-,-
EGBA12408NN,"(A) Busbar, Insulators and Brackets",12 - 1/2,4,08,N,No Hole Pattern,Copper,-,-
EGBA14208BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,08,B,7/16 in,Copper,-,-
EGBA14208BF,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,08,B,1/4 in,Copper,-,-
EGBA14208EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,08,E,7/16 in,Copper,-,-
EGBA14208GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,08,G,7/16 in,Copper,-,-
EGBA14208HHT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,08,H,7/16 in,Tinned Copper,-,-
EGBA14208NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,08,N,No Hole Pattern,Copper,-,-
EGBA14308AA1TK,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,08,A,7/16 in,,"#2 Solid Copper Wire, Tinned",10 ft
EGBA14308JJ,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,08,J,7/16 in,Copper,-,-
EGBA14308NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,08,N,No Hole Pattern,Copper,-,-
EGBA14408BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,08,B,7/16 in,Copper,-,-
EGBA14408MM,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,08,M,7/16 in,Copper,-,-
EGBA14408NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,08,N,No Hole Pattern,Copper,-,-
EGBA14608AA,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,08,A,7/16 in,Copper,-,-
EGBA38308NN,"(A) Busbar, Insulators and Brackets",38 - 3/8,3,08,N,No Hole Pattern,Copper,-,-
EGBC14308LLT,(C) Busbar Only,14 - 1/4,3,08,L,7/16 in,Tinned Copper,-,-
EGBC14408GG,(C) Busbar Only,14 - 1/4,4,08,G,7/16 in,Copper,-,-
EGBA14207BF,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,07,B,1/4 in,Copper,-,-
EGBC14307NN,(C) Busbar Only,14 - 1/4,3,07,N,No Hole Pattern,Copper,-,-
EGBA12206NN,"(A) Busbar, Insulators and Brackets",12 - 1/2,2,06,N,No Hole Pattern,Copper,-,-
EGBA14106HH,"(A) Busbar, Insulators and Brackets",14 - 1/4,1,06,H,7/16 in,Copper,-,-
EGBA14106HHT,"(A) Busbar, Insulators and Brackets",14 - 1/4,1,06,H,7/16 in,Tinned Copper,-,-
EGBA14106NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,1,06,N,No Hole Pattern,Copper,-,-
EGBA14206BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,06,B,7/16 in,Copper,-,-
EGBA14206BD,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,06,B,3/8 in,Copper,-,-
EGBA14206EC,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,06,E,3/8 in,Copper,-,-
EGBA14206EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,06,E,7/16 in,Copper,-,-
EGBA14206EET,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,06,E,7/16 in,Tinned Copper,-,-
EGBA14206GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,06,G,7/16 in,Copper,-,-
EGBA14206JJ,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,06,J,7/16 in,Copper,-,-
EGBA14206NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,06,N,No Hole Pattern,Copper,-,-
EGBA14206NNT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,06,N,No Hole Pattern,Tinned Copper,-,-
EGBA14206SS,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,06,S,7/16 in,Copper,-,-
EGBA14306CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,06,C,7/16 in,Copper,-,-
EGBA14306NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,06,N,No Hole Pattern,Copper,-,-
EGBA14406MM2QC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,06,M,7/16 in,,"4/0 Concentric Copper Cable, 7 Strand",3 ft
EGBA14406CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,06,C,7/16 in,Copper,-,-
EGBA14406CCT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,06,C,7/16 in,Tinned Copper,-,-
EGBA14406LL,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,06,L,7/16 in,Copper,-,-
EGBA14406NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,06,N,No Hole Pattern,Copper,-,-
EGBB14106NN,(B) Busbar and Brackets,14 - 1/4,1,06,N,No Hole Pattern,Copper,-,-
EGBB14206EET,(B) Busbar and Brackets,14 - 1/4,2,06,E,7/16 in,Tinned Copper,-,-
EGBB14206NN,(B) Busbar and Brackets,14 - 1/4,2,06,N,No Hole Pattern,Copper,-,-
EGBC14106EE,(C) Busbar Only,14 - 1/4,1,06,E,7/16 in,Copper,-,-
EGBC14206NN,(C) Busbar Only,14 - 1/4,2,06,N,No Hole Pattern,Copper,-,-
EGBF14406LL,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,06,L,7/16 in,Copper,-,-
EGBF14406LLT,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,06,L,7/16 in,Tinned Copper,-,-
EGBA14204NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,04,N,No Hole Pattern,Copper,-,-
EGBA14424CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,C,7/16 in,Copper,-,-
EGBA14424LL,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,24,L,7/16 in,Copper,-,-
EGBA14412GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,G,7/16 in,Copper,-,-
EGBA14412NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,N,No Hole Pattern,Copper,-,-
EGBA14618CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,18,C,7/16 in,Copper,-,-
EGBA14630CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,30,C,7/16 in,Copper,-,-
EGBA14612GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,12,G,7/16 in,Copper,-,-
EGBA14624LL,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,24,L,7/16 in,Copper,-,-
EGBA14612NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,12,N,No Hole Pattern,Copper,-,-
