part number,configuration,bar thickness,bar width,bar length,hole pattern,hole size,material,pigtail code,pigtail length
EGBA14236EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,36,E,7/16 in,Copper,-,-
EGBA14236GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,36,G,7/16 in,Copper,-,-
EGBA14236NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,36,N,No Hole Pattern,Copper,-,-
EGBA14236NNT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,36,N,No Hole Pattern,Tinned Copper,-,-
EGBA14336BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,36,B,7/16 in,Copper,-,-
EGBA14336BBT,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,36,B,7/16 in,Tinned Copper,-,-
EGBA14336CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,36,C,7/16 in,Copper,-,-
EGBA14336DGT,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,36,D,1/2 in,Tinned Copper,-,-
EGBA14336NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,36,N,No Hole Pattern,Copper,-,-
EGBA14436AA,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,36,A,7/16 in,Copper,-,-
EGBA14436AAT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,36,A,7/16 in,Tinned Copper,-,-
EGBA14436BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,36,B,7/16 in,Copper,-,-
EGBA14436CB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,36,C,9/16 in,Copper,-,-
EGBA14436CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,36,C,7/16 in,Copper,-,-
EGBA14436CCT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,36,C,7/16 in,Tinned Copper,-,-
EGBA14436DD,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,36,D,7/16 in,Copper,-,-
EGBA14436EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,36,E,7/16 in,Copper,-,-
EGBA14436GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,36,G,7/16 in,Copper,-,-
EGBA14436JJ,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,36,J,7/16 in,Copper,-,-
EGBA14436LL,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,36,L,7/16 in,Copper,-,-
EGBA14436LLT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,36,L,7/16 in,Tinned Copper,-,-
EGBA14436MM,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,36,M,7/16 in,Copper,-,-
EGBA14436NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,36,N,No Hole Pattern,Copper,-,-
EGBA14436QQ,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,36,Q,7/16 in,Copper,-,-
EGBA14436QQT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,36,Q,7/16 in,Tinned Copper,-,-
EGBA14436RR,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,36,R,7/16 in,Copper,-,-
EGBA14636BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,36,B,7/16 in,Copper,-,-
EGBA14636CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,36,C,7/16 in,Copper,-,-
EGBA14636LL,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,36,L,7/16 in,Copper,-,-
EGBA14636NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,36,N,No Hole Pattern,Copper,-,-
